commodityCode,countryCode,marketYear,calendarYear,month,attributeId,unitId,commodityName,attributeName,unitDescription,countryName,regionName,value
0440000,AF,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Afghanistan,South Asia,135.0
0440000,AF,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Afghanistan,South Asia,0.0
0440000,AF,2024,2024,08,28,8,Corn,Production,(1000 MT),Afghanistan,South Asia,260.0
0440000,AF,2024,2024,08,57,8,Corn,Imports,(1000 MT),Afghanistan,South Asia,50.0
0440000,AF,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Afghanistan,South Asia,50.0
0440000,AF,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Afghanistan,South Asia,0.0
0440000,AF,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Afghanistan,South Asia,310.0
0440000,AF,2024,2024,08,88,8,Corn,Exports,(1000 MT),Afghanistan,South Asia,1.0
0440000,AF,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Afghanistan,South Asia,1.0
0440000,AF,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Afghanistan,South Asia,230.0
0440000,AF,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Afghanistan,South Asia,79.0
0440000,AF,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Afghanistan,South Asia,309.0
0440000,AF,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Afghanistan,South Asia,0.0
0440000,AF,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Afghanistan,South Asia,310.0
0440000,AF,2024,2024,08,184,26,Corn,Yield,(MT/HA),Afghanistan,South Asia,1.9259
0440000,AG,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Algeria,North Africa,2.0
0440000,AG,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Algeria,North Africa,420.0
0440000,AG,2024,2024,08,28,8,Corn,Production,(1000 MT),Algeria,North Africa,12.0
0440000,AG,2024,2024,08,57,8,Corn,Imports,(1000 MT),Algeria,North Africa,4800.0
0440000,AG,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Algeria,North Africa,5000.0
0440000,AG,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Algeria,North Africa,0.0
0440000,AG,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Algeria,North Africa,5232.0
0440000,AG,2024,2024,08,88,8,Corn,Exports,(1000 MT),Algeria,North Africa,0.0
0440000,AG,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Algeria,North Africa,0.0
0440000,AG,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Algeria,North Africa,4900.0
0440000,AG,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Algeria,North Africa,0.0
0440000,AG,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Algeria,North Africa,4900.0
0440000,AG,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Algeria,North Africa,332.0
0440000,AG,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Algeria,North Africa,5232.0
0440000,AG,2024,2024,08,184,26,Corn,Yield,(MT/HA),Algeria,North Africa,6.0
0440000,AJ,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Azerbaijan,Former Soviet Union - 12,30.0
0440000,AJ,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Azerbaijan,Former Soviet Union - 12,37.0
0440000,AJ,2024,2024,08,28,8,Corn,Production,(1000 MT),Azerbaijan,Former Soviet Union - 12,290.0
0440000,AJ,2024,2024,08,57,8,Corn,Imports,(1000 MT),Azerbaijan,Former Soviet Union - 12,60.0
0440000,AJ,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Azerbaijan,Former Soviet Union - 12,60.0
0440000,AJ,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Azerbaijan,Former Soviet Union - 12,0.0
0440000,AJ,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Azerbaijan,Former Soviet Union - 12,387.0
0440000,AJ,2024,2024,08,88,8,Corn,Exports,(1000 MT),Azerbaijan,Former Soviet Union - 12,0.0
0440000,AJ,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Azerbaijan,Former Soviet Union - 12,0.0
0440000,AJ,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Azerbaijan,Former Soviet Union - 12,325.0
0440000,AJ,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Azerbaijan,Former Soviet Union - 12,25.0
0440000,AJ,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Azerbaijan,Former Soviet Union - 12,350.0
0440000,AJ,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Azerbaijan,Former Soviet Union - 12,37.0
0440000,AJ,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Azerbaijan,Former Soviet Union - 12,387.0
0440000,AJ,2024,2024,08,184,26,Corn,Yield,(MT/HA),Azerbaijan,Former Soviet Union - 12,9.6667
0440000,AL,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Albania,Other Europe,56.0
0440000,AL,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Albania,Other Europe,0.0
0440000,AL,2024,2024,08,28,8,Corn,Production,(1000 MT),Albania,Other Europe,395.0
0440000,AL,2024,2024,08,57,8,Corn,Imports,(1000 MT),Albania,Other Europe,65.0
0440000,AL,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Albania,Other Europe,50.0
0440000,AL,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Albania,Other Europe,0.0
0440000,AL,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Albania,Other Europe,460.0
0440000,AL,2024,2024,08,88,8,Corn,Exports,(1000 MT),Albania,Other Europe,0.0
0440000,AL,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Albania,Other Europe,0.0
0440000,AL,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Albania,Other Europe,450.0
0440000,AL,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Albania,Other Europe,10.0
0440000,AL,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Albania,Other Europe,460.0
